generation,avarage fitness,local best fitness,global best fitness,h-h pairs of best candidate,overlapped pairs of best candidate,mutation rate
1.0,0.69,4.0,4.0,4.0,0.0,0.01
2.0,0.93,4.0,4.0,4.0,0.0,0.011
3.0,1.08,5.0,5.0,5.0,0.0,0.012
4.0,1.24,8.0,8.0,8.0,0.0,0.013000000000000001
5.0,1.39,6.0,8.0,8.0,0.0,0.012
6.0,1.52,7.0,8.0,8.0,0.0,0.011
7.0,1.74,7.0,8.0,8.0,0.0,0.01
8.0,1.95,8.0,8.0,8.0,0.0,0.01
9.0,2.21,9.0,9.0,9.0,0.0,0.01
10.0,2.47,8.0,9.0,9.0,0.0,0.01
11.0,2.65,11.0,11.0,11.0,0.0,0.01
12.0,2.92,11.0,11.0,11.0,0.0,0.01
13.0,3.16,10.0,11.0,11.0,0.0,0.01
14.0,3.47,10.0,11.0,11.0,0.0,0.01
15.0,3.75,10.0,11.0,11.0,0.0,0.01
16.0,4.04,12.0,12.0,12.0,0.0,0.01
17.0,4.41,12.0,12.0,12.0,0.0,0.01
18.0,4.48,11.0,12.0,12.0,0.0,0.01
19.0,4.66,11.0,12.0,12.0,0.0,0.01
20.0,4.89,11.0,12.0,12.0,0.0,0.01
21.0,5.07,12.0,12.0,12.0,0.0,0.01
22.0,5.2,11.0,12.0,12.0,0.0,0.01
23.0,5.49,12.0,12.0,12.0,0.0,0.01
24.0,5.51,12.0,12.0,12.0,0.0,0.01
25.0,5.87,13.0,13.0,13.0,0.0,0.01
26.0,6.08,14.0,14.0,14.0,0.0,0.01
27.0,5.98,13.0,14.0,14.0,0.0,0.01
28.0,6.28,15.0,15.0,15.0,0.0,0.01
29.0,6.51,13.0,15.0,15.0,0.0,0.01
30.0,6.58,13.0,15.0,15.0,0.0,0.01
31.0,6.65,14.0,15.0,15.0,0.0,0.01
32.0,6.59,14.0,15.0,15.0,0.0,0.01
33.0,6.9,14.0,15.0,15.0,0.0,0.01
34.0,7.02,14.0,15.0,15.0,0.0,0.01
35.0,7.15,14.0,15.0,15.0,0.0,0.01
36.0,7.15,15.0,15.0,15.0,0.0,0.01
37.0,7.05,14.0,15.0,15.0,0.0,0.01
38.0,7.03,15.0,15.0,15.0,0.0,0.01
39.0,7.23,15.0,15.0,15.0,0.0,0.011
40.0,7.32,14.0,15.0,15.0,0.0,0.01
41.0,7.45,15.0,15.0,15.0,0.0,0.01
42.0,7.58,17.0,17.0,17.0,0.0,0.01
43.0,7.66,15.0,17.0,17.0,0.0,0.01
44.0,7.75,15.0,17.0,17.0,0.0,0.01
45.0,7.98,15.0,17.0,17.0,0.0,0.01
46.0,7.97,15.0,17.0,17.0,0.0,0.01
47.0,8.05,16.0,17.0,17.0,0.0,0.01
48.0,8.02,17.0,17.0,17.0,0.0,0.01
49.0,8.07,16.0,17.0,17.0,0.0,0.01
50.0,8.07,16.0,17.0,17.0,0.0,0.01
51.0,8.41,17.0,17.0,17.0,0.0,0.01
52.0,8.44,17.0,17.0,17.0,0.0,0.01
53.0,8.26,16.0,17.0,17.0,0.0,0.01
54.0,8.59,17.0,17.0,17.0,0.0,0.011
55.0,8.89,17.0,17.0,17.0,0.0,0.01
56.0,9.2,17.0,17.0,17.0,0.0,0.01
57.0,9.22,16.0,17.0,17.0,0.0,0.01
58.0,9.43,17.0,17.0,17.0,0.0,0.01
59.0,9.42,16.0,17.0,17.0,0.0,0.01
60.0,9.59,17.0,17.0,17.0,0.0,0.01
61.0,9.76,17.0,17.0,17.0,0.0,0.01
62.0,9.84,17.0,17.0,17.0,0.0,0.01
63.0,10.08,17.0,17.0,17.0,0.0,0.01
64.0,10.75,17.0,17.0,17.0,0.0,0.01
65.0,10.62,17.0,17.0,17.0,0.0,0.01
66.0,10.99,17.0,17.0,17.0,0.0,0.01
67.0,11.57,17.0,17.0,17.0,0.0,0.01
68.0,11.77,17.0,17.0,17.0,0.0,0.01
69.0,11.74,17.0,17.0,17.0,0.0,0.01
70.0,12.1,17.0,17.0,17.0,0.0,0.01
71.0,12.42,17.0,17.0,17.0,0.0,0.01
72.0,12.44,18.0,18.0,18.0,0.0,0.01
73.0,12.73,18.0,18.0,18.0,0.0,0.01
74.0,12.93,18.0,18.0,18.0,0.0,0.01
75.0,13.29,18.0,18.0,18.0,0.0,0.01
76.0,12.93,18.0,18.0,18.0,0.0,0.01
77.0,12.94,18.0,18.0,18.0,0.0,0.01
78.0,13.0,18.0,18.0,18.0,0.0,0.01
79.0,12.89,18.0,18.0,18.0,0.0,0.01
80.0,12.82,18.0,18.0,18.0,0.0,0.011
81.0,12.72,18.0,18.0,18.0,0.0,0.012
82.0,12.6,18.0,18.0,18.0,0.0,0.013000000000000001
83.0,12.46,19.0,19.0,19.0,0.0,0.012
84.0,12.7,18.0,19.0,19.0,0.0,0.011
85.0,12.66,18.0,19.0,19.0,0.0,0.012
86.0,12.32,18.0,19.0,19.0,0.0,0.013000000000000001
87.0,12.44,18.0,19.0,19.0,0.0,0.012
88.0,12.83,18.0,19.0,19.0,0.0,0.011
89.0,12.64,18.0,19.0,19.0,0.0,0.012
90.0,12.63,19.0,19.0,19.0,0.0,0.013000000000000001
91.0,11.94,18.0,19.0,19.0,0.0,0.014000000000000002
92.0,12.08,18.0,19.0,19.0,0.0,0.013000000000000001
93.0,12.61,18.0,19.0,19.0,0.0,0.012
94.0,12.31,18.0,19.0,19.0,0.0,0.013000000000000001
95.0,12.12,18.0,19.0,19.0,0.0,0.014000000000000002
96.0,11.79,19.0,19.0,19.0,0.0,0.013000000000000001
97.0,11.88,19.0,19.0,19.0,0.0,0.012
98.0,12.09,19.0,19.0,19.0,0.0,0.011
99.0,12.06,18.0,19.0,19.0,0.0,0.012
100.0,11.92,18.0,19.0,19.0,0.0,0.013000000000000001
101.0,11.68,18.0,19.0,19.0,0.0,0.014000000000000002
102.0,11.83,18.0,19.0,19.0,0.0,0.013000000000000001
103.0,11.53,18.0,19.0,19.0,0.0,0.014000000000000002
104.0,11.72,18.0,19.0,19.0,0.0,0.013000000000000001
105.0,11.61,18.0,19.0,19.0,0.0,0.014000000000000002
106.0,11.77,18.0,19.0,19.0,0.0,0.013000000000000001
107.0,11.48,18.0,19.0,19.0,0.0,0.014000000000000002
108.0,11.65,19.0,19.0,19.0,0.0,0.013000000000000001
109.0,11.63,18.0,19.0,19.0,0.0,0.014000000000000002
110.0,11.42,18.0,19.0,19.0,0.0,0.015000000000000003
111.0,11.19,17.0,19.0,19.0,0.0,0.014000000000000002
112.0,11.34,18.0,19.0,19.0,0.0,0.013000000000000001
113.0,11.25,18.0,19.0,19.0,0.0,0.014000000000000002
114.0,11.52,17.0,19.0,19.0,0.0,0.013000000000000001
115.0,11.17,18.0,19.0,19.0,0.0,0.014000000000000002
116.0,11.16,18.0,19.0,19.0,0.0,0.013000000000000001
117.0,11.64,18.0,19.0,19.0,0.0,0.012
118.0,12.25,18.0,19.0,19.0,0.0,0.011
119.0,12.67,18.0,19.0,19.0,0.0,0.01
120.0,13.24,18.0,19.0,19.0,0.0,0.01
121.0,13.29,18.0,19.0,19.0,0.0,0.01
122.0,13.52,18.0,19.0,19.0,0.0,0.01
123.0,13.43,18.0,19.0,19.0,0.0,0.01
124.0,13.54,18.0,19.0,19.0,0.0,0.01
125.0,13.64,18.0,19.0,19.0,0.0,0.01
