generation,avarage fitness,local best fitness,global best fitness,h-h pairs of best candidate,overlapped pairs of best candidate
1.0,0.72,5.0,5.0,5.0,0.0
2.0,0.89,5.0,5.0,5.0,0.0
3.0,1.03,8.0,8.0,8.0,0.0
4.0,1.19,8.0,8.0,8.0,0.0
5.0,1.43,7.0,8.0,8.0,0.0
6.0,1.72,8.0,8.0,8.0,0.0
7.0,2.1,9.0,9.0,9.0,0.0
8.0,2.5,10.0,10.0,10.0,0.0
9.0,3.04,11.0,11.0,11.0,0.0
10.0,3.58,11.0,11.0,11.0,0.0
11.0,4.09,12.0,12.0,12.0,0.0
12.0,4.52,12.0,12.0,12.0,0.0
13.0,4.94,13.0,13.0,13.0,0.0
14.0,5.29,12.0,13.0,13.0,0.0
15.0,5.58,13.0,13.0,13.0,0.0
16.0,5.86,13.0,13.0,13.0,0.0
17.0,6.11,13.0,13.0,13.0,0.0
18.0,6.25,14.0,14.0,14.0,0.0
19.0,6.62,14.0,14.0,14.0,0.0
20.0,6.91,15.0,15.0,15.0,0.0
21.0,7.13,15.0,15.0,15.0,0.0
22.0,7.34,15.0,15.0,15.0,0.0
23.0,7.66,15.0,15.0,15.0,0.0
24.0,7.85,16.0,16.0,16.0,0.0
25.0,8.11,18.0,18.0,18.0,0.0
26.0,8.44,18.0,18.0,18.0,0.0
27.0,8.73,18.0,18.0,18.0,0.0
28.0,9.19,18.0,18.0,18.0,0.0
29.0,9.46,17.0,18.0,18.0,0.0
30.0,9.77,17.0,18.0,18.0,0.0
31.0,10.08,17.0,18.0,18.0,0.0
32.0,10.2,17.0,18.0,18.0,0.0
33.0,10.44,17.0,18.0,18.0,0.0
34.0,10.61,17.0,18.0,18.0,0.0
35.0,10.89,17.0,18.0,18.0,0.0
36.0,11.11,17.0,18.0,18.0,0.0
37.0,11.29,17.0,18.0,18.0,0.0
38.0,11.58,17.0,18.0,18.0,0.0
39.0,11.83,17.0,18.0,18.0,0.0
40.0,11.88,17.0,18.0,18.0,0.0
41.0,12.05,17.0,18.0,18.0,0.0
42.0,12.23,17.0,18.0,18.0,0.0
43.0,12.32,18.0,18.0,18.0,0.0
44.0,12.5,18.0,18.0,18.0,0.0
45.0,12.54,18.0,18.0,18.0,0.0
46.0,12.64,18.0,18.0,18.0,0.0
47.0,12.76,18.0,18.0,18.0,0.0
48.0,12.8,17.0,18.0,18.0,0.0
49.0,12.83,18.0,18.0,18.0,0.0
50.0,12.92,17.0,18.0,18.0,0.0
51.0,13.02,17.0,18.0,18.0,0.0
52.0,13.03,19.0,19.0,19.0,0.0
53.0,13.1,19.0,19.0,19.0,0.0
54.0,13.08,18.0,19.0,19.0,0.0
55.0,13.11,18.0,19.0,19.0,0.0
56.0,13.13,18.0,19.0,19.0,0.0
57.0,13.18,18.0,19.0,19.0,0.0
58.0,13.16,19.0,19.0,19.0,0.0
59.0,13.2,19.0,19.0,19.0,0.0
60.0,13.2,19.0,19.0,19.0,0.0
61.0,13.28,19.0,19.0,19.0,0.0
62.0,13.2,19.0,19.0,19.0,0.0
63.0,13.29,19.0,19.0,19.0,0.0
64.0,13.29,19.0,19.0,19.0,0.0
65.0,13.27,19.0,19.0,19.0,0.0
66.0,13.28,18.0,19.0,19.0,0.0
67.0,13.27,17.0,19.0,19.0,0.0
68.0,13.28,17.0,19.0,19.0,0.0
69.0,13.23,17.0,19.0,19.0,0.0
70.0,13.3,18.0,19.0,19.0,0.0
71.0,13.31,17.0,19.0,19.0,0.0
72.0,13.38,17.0,19.0,19.0,0.0
73.0,13.42,17.0,19.0,19.0,0.0
74.0,13.35,18.0,19.0,19.0,0.0
