generation,avarage fitness,local best fitness,global best fitness,h-h pairs of best candidate,overlapped pairs of best candidate
1.0,0.73,4.0,4.0,4.0,0.0
2.0,0.89,4.0,4.0,4.0,0.0
3.0,1.03,6.0,6.0,6.0,0.0
4.0,1.28,6.0,6.0,6.0,0.0
5.0,1.51,7.0,7.0,7.0,0.0
6.0,1.67,7.0,7.0,7.0,0.0
7.0,2.0,8.0,8.0,8.0,0.0
8.0,2.49,7.0,8.0,8.0,0.0
9.0,2.9,9.0,9.0,9.0,0.0
10.0,3.44,10.0,10.0,10.0,0.0
11.0,4.06,10.0,10.0,10.0,0.0
12.0,4.46,10.0,10.0,10.0,0.0
13.0,4.92,10.0,10.0,10.0,0.0
14.0,5.45,11.0,11.0,11.0,0.0
15.0,5.78,11.0,11.0,11.0,0.0
16.0,5.96,12.0,12.0,12.0,0.0
17.0,6.3,11.0,12.0,12.0,0.0
18.0,6.59,11.0,12.0,12.0,0.0
19.0,6.64,12.0,12.0,12.0,0.0
20.0,6.88,11.0,12.0,12.0,0.0
21.0,7.01,12.0,12.0,12.0,0.0
22.0,7.31,12.0,12.0,12.0,0.0
23.0,7.44,13.0,13.0,13.0,0.0
24.0,7.62,12.0,13.0,13.0,0.0
25.0,7.63,12.0,13.0,13.0,0.0
26.0,7.71,13.0,13.0,13.0,0.0
27.0,7.66,13.0,13.0,13.0,0.0
28.0,8.0,12.0,13.0,13.0,0.0
29.0,8.09,13.0,13.0,13.0,0.0
30.0,8.34,13.0,13.0,13.0,0.0
31.0,8.32,13.0,13.0,13.0,0.0
32.0,8.53,13.0,13.0,13.0,0.0
33.0,8.55,13.0,13.0,13.0,0.0
34.0,8.63,13.0,13.0,13.0,0.0
35.0,8.78,13.0,13.0,13.0,0.0
36.0,9.03,14.0,14.0,14.0,0.0
37.0,9.0,14.0,14.0,14.0,0.0
38.0,9.31,14.0,14.0,14.0,0.0
39.0,9.31,13.0,14.0,14.0,0.0
40.0,9.26,13.0,14.0,14.0,0.0
41.0,9.39,14.0,14.0,14.0,0.0
42.0,9.45,14.0,14.0,14.0,0.0
43.0,9.57,14.0,14.0,14.0,0.0
44.0,9.75,13.0,14.0,14.0,0.0
45.0,9.82,13.0,14.0,14.0,0.0
46.0,9.86,13.0,14.0,14.0,0.0
47.0,9.85,13.0,14.0,14.0,0.0
48.0,10.07,13.0,14.0,14.0,0.0
49.0,9.98,14.0,14.0,14.0,0.0
50.0,9.99,14.0,14.0,14.0,0.0
51.0,9.94,13.0,14.0,14.0,0.0
52.0,10.09,13.0,14.0,14.0,0.0
53.0,10.12,13.0,14.0,14.0,0.0
54.0,10.16,14.0,14.0,14.0,0.0
55.0,10.34,14.0,14.0,14.0,0.0
56.0,10.51,14.0,14.0,14.0,0.0
57.0,10.65,14.0,14.0,14.0,0.0
58.0,10.69,14.0,14.0,14.0,0.0
59.0,10.7,14.0,14.0,14.0,0.0
60.0,10.73,14.0,14.0,14.0,0.0
61.0,10.89,14.0,14.0,14.0,0.0
62.0,10.97,14.0,14.0,14.0,0.0
63.0,11.06,14.0,14.0,14.0,0.0
64.0,11.06,14.0,14.0,14.0,0.0
65.0,10.95,14.0,14.0,14.0,0.0
66.0,11.09,14.0,14.0,14.0,0.0
67.0,11.15,14.0,14.0,14.0,0.0
68.0,11.16,15.0,15.0,15.0,0.0
69.0,11.26,13.0,15.0,15.0,0.0
70.0,11.24,13.0,15.0,15.0,0.0
71.0,11.29,13.0,15.0,15.0,0.0
72.0,11.39,13.0,15.0,15.0,0.0
73.0,11.27,13.0,15.0,15.0,0.0
74.0,11.34,13.0,15.0,15.0,0.0
75.0,11.43,13.0,15.0,15.0,0.0
76.0,11.34,14.0,15.0,15.0,0.0
77.0,11.3,13.0,15.0,15.0,0.0
78.0,11.25,13.0,15.0,15.0,0.0
79.0,11.34,13.0,15.0,15.0,0.0
80.0,11.46,13.0,15.0,15.0,0.0
81.0,11.46,13.0,15.0,15.0,0.0
82.0,11.54,13.0,15.0,15.0,0.0
83.0,11.59,13.0,15.0,15.0,0.0
84.0,11.58,13.0,15.0,15.0,0.0
85.0,11.63,14.0,15.0,15.0,0.0
86.0,11.72,14.0,15.0,15.0,0.0
87.0,11.51,14.0,15.0,15.0,0.0
88.0,11.63,14.0,15.0,15.0,0.0
89.0,11.57,14.0,15.0,15.0,0.0
90.0,11.49,14.0,15.0,15.0,0.0
91.0,11.73,14.0,15.0,15.0,0.0
92.0,11.72,14.0,15.0,15.0,0.0
93.0,11.72,14.0,15.0,15.0,0.0
94.0,11.83,14.0,15.0,15.0,0.0
95.0,11.77,14.0,15.0,15.0,0.0
96.0,11.7,14.0,15.0,15.0,0.0
97.0,11.67,14.0,15.0,15.0,0.0
98.0,11.69,14.0,15.0,15.0,0.0
99.0,11.76,14.0,15.0,15.0,0.0
100.0,11.81,14.0,15.0,15.0,0.0
101.0,11.71,13.0,15.0,15.0,0.0
102.0,11.65,13.0,15.0,15.0,0.0
103.0,11.62,14.0,15.0,15.0,0.0
104.0,11.68,14.0,15.0,15.0,0.0
105.0,11.64,14.0,15.0,15.0,0.0
106.0,11.67,14.0,15.0,15.0,0.0
107.0,11.66,14.0,15.0,15.0,0.0
108.0,11.65,13.0,15.0,15.0,0.0
109.0,11.68,14.0,15.0,15.0,0.0
110.0,11.79,14.0,15.0,15.0,0.0
111.0,11.68,14.0,15.0,15.0,0.0
112.0,11.68,13.0,15.0,15.0,0.0
113.0,11.75,13.0,15.0,15.0,0.0
114.0,11.88,13.0,15.0,15.0,0.0
115.0,11.81,14.0,15.0,15.0,0.0
116.0,11.79,14.0,15.0,15.0,0.0
117.0,11.87,14.0,15.0,15.0,0.0
118.0,11.79,14.0,15.0,15.0,0.0
119.0,11.78,14.0,15.0,15.0,0.0
120.0,11.82,14.0,15.0,15.0,0.0
121.0,11.79,14.0,15.0,15.0,0.0
122.0,11.86,14.0,15.0,15.0,0.0
123.0,11.85,14.0,15.0,15.0,0.0
124.0,11.89,14.0,15.0,15.0,0.0
125.0,11.89,14.0,15.0,15.0,0.0
126.0,11.93,14.0,15.0,15.0,0.0
127.0,11.88,14.0,15.0,15.0,0.0
128.0,11.81,14.0,15.0,15.0,0.0
129.0,11.84,14.0,15.0,15.0,0.0
130.0,11.92,14.0,15.0,15.0,0.0
131.0,11.88,14.0,15.0,15.0,0.0
132.0,12.05,14.0,15.0,15.0,0.0
133.0,11.9,14.0,15.0,15.0,0.0
134.0,11.96,14.0,15.0,15.0,0.0
135.0,11.96,14.0,15.0,15.0,0.0
136.0,11.93,14.0,15.0,15.0,0.0
137.0,12.02,14.0,15.0,15.0,0.0
138.0,11.95,14.0,15.0,15.0,0.0
139.0,11.91,14.0,15.0,15.0,0.0
140.0,12.01,14.0,15.0,15.0,0.0
141.0,12.03,14.0,15.0,15.0,0.0
142.0,11.99,14.0,15.0,15.0,0.0
143.0,11.91,14.0,15.0,15.0,0.0
144.0,11.95,14.0,15.0,15.0,0.0
145.0,11.94,14.0,15.0,15.0,0.0
146.0,11.97,14.0,15.0,15.0,0.0
147.0,12.03,14.0,15.0,15.0,0.0
148.0,12.01,14.0,15.0,15.0,0.0
149.0,12.02,14.0,15.0,15.0,0.0
150.0,12.03,15.0,15.0,15.0,0.0
151.0,11.98,14.0,15.0,15.0,0.0
152.0,12.05,14.0,15.0,15.0,0.0
153.0,12.11,14.0,15.0,15.0,0.0
154.0,12.07,14.0,15.0,15.0,0.0
155.0,12.08,14.0,15.0,15.0,0.0
156.0,12.15,14.0,15.0,15.0,0.0
157.0,12.03,14.0,15.0,15.0,0.0
158.0,12.16,14.0,15.0,15.0,0.0
159.0,12.29,15.0,15.0,15.0,0.0
160.0,12.2,14.0,15.0,15.0,0.0
161.0,12.31,15.0,15.0,15.0,0.0
162.0,12.34,14.0,15.0,15.0,0.0
163.0,12.32,14.0,15.0,15.0,0.0
164.0,12.3,14.0,15.0,15.0,0.0
165.0,12.31,14.0,15.0,15.0,0.0
166.0,12.36,14.0,15.0,15.0,0.0
167.0,12.27,14.0,15.0,15.0,0.0
168.0,12.3,14.0,15.0,15.0,0.0
169.0,12.36,14.0,15.0,15.0,0.0
170.0,12.29,14.0,15.0,15.0,0.0
171.0,12.31,14.0,15.0,15.0,0.0
172.0,12.42,14.0,15.0,15.0,0.0
173.0,12.36,14.0,15.0,15.0,0.0
174.0,12.43,14.0,15.0,15.0,0.0
175.0,12.41,14.0,15.0,15.0,0.0
176.0,12.46,14.0,15.0,15.0,0.0
177.0,12.51,14.0,15.0,15.0,0.0
178.0,12.49,14.0,15.0,15.0,0.0
179.0,12.5,14.0,15.0,15.0,0.0
180.0,12.6,14.0,15.0,15.0,0.0
181.0,12.58,14.0,15.0,15.0,0.0
182.0,12.62,14.0,15.0,15.0,0.0
183.0,12.64,14.0,15.0,15.0,0.0
184.0,12.49,14.0,15.0,15.0,0.0
185.0,12.7,14.0,15.0,15.0,0.0
186.0,12.68,14.0,15.0,15.0,0.0
187.0,12.65,14.0,15.0,15.0,0.0
188.0,12.73,15.0,15.0,15.0,0.0
189.0,12.81,14.0,15.0,15.0,0.0
190.0,12.81,14.0,15.0,15.0,0.0
191.0,12.79,14.0,15.0,15.0,0.0
192.0,12.82,14.0,15.0,15.0,0.0
193.0,12.77,14.0,15.0,15.0,0.0
194.0,12.75,14.0,15.0,15.0,0.0
195.0,12.94,14.0,15.0,15.0,0.0
196.0,12.92,15.0,15.0,15.0,0.0
197.0,12.93,15.0,15.0,15.0,0.0
198.0,12.97,15.0,15.0,15.0,0.0
199.0,12.92,14.0,15.0,15.0,0.0
200.0,12.92,14.0,15.0,15.0,0.0
201.0,12.88,14.0,15.0,15.0,0.0
202.0,12.95,14.0,15.0,15.0,0.0
203.0,12.89,14.0,15.0,15.0,0.0
204.0,12.88,14.0,15.0,15.0,0.0
205.0,12.97,14.0,15.0,15.0,0.0
206.0,12.97,14.0,15.0,15.0,0.0
207.0,12.91,14.0,15.0,15.0,0.0
208.0,12.91,14.0,15.0,15.0,0.0
209.0,12.92,14.0,15.0,15.0,0.0
210.0,12.91,14.0,15.0,15.0,0.0
211.0,12.89,14.0,15.0,15.0,0.0
212.0,12.94,14.0,15.0,15.0,0.0
213.0,12.99,14.0,15.0,15.0,0.0
214.0,12.95,14.0,15.0,15.0,0.0
215.0,13.0,14.0,15.0,15.0,0.0
216.0,13.08,14.0,15.0,15.0,0.0
217.0,13.02,14.0,15.0,15.0,0.0
218.0,12.96,14.0,15.0,15.0,0.0
219.0,13.01,14.0,15.0,15.0,0.0
220.0,13.05,15.0,15.0,15.0,0.0
221.0,13.12,14.0,15.0,15.0,0.0
222.0,13.13,14.0,15.0,15.0,0.0
223.0,13.15,14.0,15.0,15.0,0.0
224.0,13.18,14.0,15.0,15.0,0.0
225.0,13.12,14.0,15.0,15.0,0.0
226.0,13.23,14.0,15.0,15.0,0.0
227.0,13.24,14.0,15.0,15.0,0.0
228.0,13.19,14.0,15.0,15.0,0.0
229.0,13.19,14.0,15.0,15.0,0.0
230.0,13.22,14.0,15.0,15.0,0.0
231.0,13.22,14.0,15.0,15.0,0.0
232.0,13.23,14.0,15.0,15.0,0.0
233.0,13.25,14.0,15.0,15.0,0.0
234.0,13.25,14.0,15.0,15.0,0.0
235.0,13.31,14.0,15.0,15.0,0.0
236.0,13.32,14.0,15.0,15.0,0.0
237.0,13.24,14.0,15.0,15.0,0.0
238.0,13.27,14.0,15.0,15.0,0.0
239.0,13.25,14.0,15.0,15.0,0.0
240.0,13.33,14.0,15.0,15.0,0.0
241.0,13.34,14.0,15.0,15.0,0.0
242.0,13.42,14.0,15.0,15.0,0.0
243.0,13.35,14.0,15.0,15.0,0.0
244.0,13.3,14.0,15.0,15.0,0.0
245.0,13.4,14.0,15.0,15.0,0.0
246.0,13.43,14.0,15.0,15.0,0.0
247.0,13.43,14.0,15.0,15.0,0.0
248.0,13.48,14.0,15.0,15.0,0.0
249.0,13.53,15.0,15.0,15.0,0.0
250.0,13.57,14.0,15.0,15.0,0.0
251.0,13.54,14.0,15.0,15.0,0.0
252.0,13.5,15.0,15.0,15.0,0.0
253.0,13.61,15.0,15.0,15.0,0.0
254.0,13.51,14.0,15.0,15.0,0.0
255.0,13.49,14.0,15.0,15.0,0.0
256.0,13.53,14.0,15.0,15.0,0.0
257.0,13.53,14.0,15.0,15.0,0.0
258.0,13.6,14.0,15.0,15.0,0.0
259.0,13.55,14.0,15.0,15.0,0.0
260.0,13.57,14.0,15.0,15.0,0.0
261.0,13.55,14.0,15.0,15.0,0.0
262.0,13.5,14.0,15.0,15.0,0.0
263.0,13.53,14.0,15.0,15.0,0.0
264.0,13.46,14.0,15.0,15.0,0.0
265.0,13.43,14.0,15.0,15.0,0.0
266.0,13.47,14.0,15.0,15.0,0.0
267.0,13.41,15.0,15.0,15.0,0.0
268.0,13.38,14.0,15.0,15.0,0.0
269.0,13.39,14.0,15.0,15.0,0.0
270.0,13.5,15.0,15.0,15.0,0.0
271.0,13.59,14.0,15.0,15.0,0.0
272.0,13.7,14.0,15.0,15.0,0.0
273.0,13.62,14.0,15.0,15.0,0.0
274.0,13.63,14.0,15.0,15.0,0.0
275.0,13.57,14.0,15.0,15.0,0.0
276.0,13.68,14.0,15.0,15.0,0.0
277.0,13.68,14.0,15.0,15.0,0.0
278.0,13.61,14.0,15.0,15.0,0.0
279.0,13.66,14.0,15.0,15.0,0.0
280.0,13.68,14.0,15.0,15.0,0.0
281.0,13.71,14.0,15.0,15.0,0.0
282.0,13.67,14.0,15.0,15.0,0.0
283.0,13.66,14.0,15.0,15.0,0.0
284.0,13.6,14.0,15.0,15.0,0.0
285.0,13.61,14.0,15.0,15.0,0.0
286.0,13.62,14.0,15.0,15.0,0.0
287.0,13.67,14.0,15.0,15.0,0.0
288.0,13.65,14.0,15.0,15.0,0.0
289.0,13.51,14.0,15.0,15.0,0.0
290.0,13.64,14.0,15.0,15.0,0.0
291.0,13.78,14.0,15.0,15.0,0.0
292.0,13.74,14.0,15.0,15.0,0.0
293.0,13.7,14.0,15.0,15.0,0.0
294.0,13.72,14.0,15.0,15.0,0.0
295.0,13.71,14.0,15.0,15.0,0.0
296.0,13.7,14.0,15.0,15.0,0.0
297.0,13.66,14.0,15.0,15.0,0.0
298.0,13.73,14.0,15.0,15.0,0.0
299.0,13.7,14.0,15.0,15.0,0.0
300.0,13.7,15.0,15.0,15.0,0.0
301.0,13.72,15.0,15.0,15.0,0.0
302.0,13.7,14.0,15.0,15.0,0.0
303.0,13.7,14.0,15.0,15.0,0.0
304.0,13.64,14.0,15.0,15.0,0.0
305.0,13.68,14.0,15.0,15.0,0.0
306.0,13.75,14.0,15.0,15.0,0.0
307.0,13.74,14.0,15.0,15.0,0.0
308.0,13.72,14.0,15.0,15.0,0.0
309.0,13.68,14.0,15.0,15.0,0.0
310.0,13.62,14.0,15.0,15.0,0.0
311.0,13.68,14.0,15.0,15.0,0.0
312.0,13.62,14.0,15.0,15.0,0.0
313.0,13.63,14.0,15.0,15.0,0.0
314.0,13.62,14.0,15.0,15.0,0.0
315.0,13.6,14.0,15.0,15.0,0.0
316.0,13.7,14.0,15.0,15.0,0.0
317.0,13.59,14.0,15.0,15.0,0.0
318.0,13.63,14.0,15.0,15.0,0.0
319.0,13.63,14.0,15.0,15.0,0.0
320.0,13.65,14.0,15.0,15.0,0.0
321.0,13.73,14.0,15.0,15.0,0.0
322.0,13.7,14.0,15.0,15.0,0.0
323.0,13.69,14.0,15.0,15.0,0.0
324.0,13.71,14.0,15.0,15.0,0.0
325.0,13.74,14.0,15.0,15.0,0.0
326.0,13.76,14.0,15.0,15.0,0.0
327.0,13.74,15.0,15.0,15.0,0.0
